itemId                               ,supplierId                                                                       ,cost    ,Quantity
020fbc14-b9c3-4baf-9d89-8bc94c32dd5e ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,382.4   ,1
021035bd-f435-4dc6-93bc-d59f76843ddc ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,78      ,1
0210c5e1-c112-4c4d-8ebb-3af1d4a78dd3 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,100     ,1
02154bdb-3c4c-402b-8063-5cf928b5be8f ,4d3054e8-3c22-450f-8206-edca7ee52a68                                             ,232.19  ,1
0224c73a-fdfd-4be8-81e7-340315e43351 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,15      ,1
0226c12c-2e2d-4e57-b2a9-27c29d613a33 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,4.25    ,1
022beba0-a0a2-4bd4-b0fa-2d7e2b59521c ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,230     ,1
022d25e4-46ac-4c9b-8a54-685cac43f0db ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,25.62   ,1
022f31e8-5172-4d0c-b61e-0a311241bc2e ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,1.35    ,1
02358bc2-40e7-424b-a395-90e5fb13631a ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,8.45    ,1
023784bc-af2a-4227-974d-5e62d10d4b7e ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,35.42   ,1
023a04e5-5e88-47a1-8857-1d75aa0d38cf ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,14.75   ,1
02448cf5-b0f1-45fd-99e7-9be0df7d3066 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,53.75   ,1
024ea675-cb7c-4243-bd72-6e220c3a76ab ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,31.2    ,1
02553674-e792-4fa4-9466-bc466a871f2f ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,17.55   ,1
0255538d-df3c-4a3f-85c0-f90f94c53f53 ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,0.1     ,1
0256b6c5-9917-4570-aae1-31db8417a481 ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,24.8    ,1
0258308e-41ef-4947-a778-a925a1fb199a ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,10.25   ,1
025eb200-0e90-4bb0-a317-743c7450d549 ,6d41dd94-cc75-4746-a6a0-3dca4e9389fc                                             ,2.7     ,1
0262a3f4-c64c-4786-8096-12903b9309be ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,60      ,1
02668182-a37f-43ae-8c0e-8d51603f4505 ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,43.6    ,1
02731ac9-aa9f-4f9b-886b-9300888e13e7 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,152     ,1
02747769-2d4f-4915-aa43-b8431323a935 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,46      ,1
02754ad1-f2a9-4d71-9d9c-d0688479aead ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,29      ,1
027b8ce7-144e-4f5d-8ce5-a87e34b8d88f ,921c654d-bb47-4f79-ba67-e0857f633977                                             ,68      ,1
0281fbed-17db-4a9b-a40a-2fc13ecf12de ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,50      ,1
02922041-d8ea-4604-9c1e-3f3ee1ffdbf3 ,99ffed4b-44c3-4ec9-8c7e-5c131dd2e0bb                                             ,1.35    ,1
0295757e-d802-478e-95f3-3df6a35f8c05 ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,2.03    ,1
02969c4e-f350-4134-b589-495924fcbab7 ,[]                                                                               ,NULL    ,1
029a48f2-2b4f-48e4-a1d4-d98fcb52ef72 ,ff02d777-7a10-4583-a4bc-1be214bcfdf6                                             ,81.14   ,1
029f7f71-96c4-404d-8611-74b2d2a25e7d ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,66      ,1
029fc401-2abd-4f18-b561-2c9e9f92d5e3 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,114     ,1
02a2532f-aa01-453b-a1eb-00a9d5f22013 ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,70      ,1
02a461eb-badf-481b-a401-a0d9946900a9 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,23.6    ,1
